S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,09/11/2021,"1,614.70","1,614.70","1,570.00","1,579.00",-2.21,"188,332.00","298,281,752.50"
2,08/11/2021,"1,660.00","1,660.00","1,605.00","1,614.70",-2.32,"186,984.00","303,329,062.30"
3,03/11/2021,"1,640.10","1,740.00","1,640.10","1,653.00",2.80,"705,430.00","1,179,786,179.70"
4,02/11/2021,"1,650.00","1,650.00","1,594.00","1,608.00",-0.74,"131,659.00","211,786,540.60"
5,01/11/2021,"1,580.00","1,620.00","1,551.00","1,620.00",2.53,"215,086.00","340,099,480.30"
6,31/10/2021,"1,600.00","1,629.90","1,573.00","1,580.00",-1.13,"176,045.00","280,317,853.10"
7,28/10/2021,"1,610.00","1,619.00","1,595.00","1,598.00",-0.50,"141,749.00","227,514,050.70"
8,27/10/2021,"1,569.00","1,620.00","1,559.00","1,606.00",2.36,"270,557.00","431,931,533.00"
9,26/10/2021,"1,505.50","1,578.00","1,498.00","1,569.00",4.81,"225,327.00","347,877,019.50"
10,25/10/2021,"1,500.30","1,500.30","1,470.30","1,497.00",1.77,"78,485.00","116,525,820.80"
11,24/10/2021,"1,472.00","1,479.00","1,462.00","1,470.90",-0.01,"54,884.00","80,712,397.30"
12,21/10/2021,"1,460.00","1,480.00","1,447.00","1,471.00",0.75,"65,682.00","96,418,376.70"
13,20/10/2021,"1,459.60","1,479.00","1,430.00","1,460.00",2.03,"65,244.00","94,805,048.20"
14,19/10/2021,"1,448.00","1,450.00","1,420.10","1,431.00",-2.52,"77,881.00","111,382,423.00"
15,18/10/2021,"1,482.00","1,482.00","1,448.00","1,468.00",-0.94,"67,707.00","98,998,518.30"
16,17/10/2021,"1,479.00","1,507.00","1,465.00","1,482.00",2.21,"56,389.00","83,267,214.70"
17,11/10/2021,"1,503.00","1,503.00","1,439.90","1,450.00",-1.63,"118,043.00","171,385,318.30"
18,10/10/2021,"1,462.60","1,500.00","1,462.60","1,474.00",2.01,"77,855.00","114,755,872.10"
19,06/10/2021,"1,410.00","1,453.00","1,410.00","1,444.90",2.48,"57,353.00","82,656,811.90"
20,05/10/2021,"1,410.00","1,410.00","1,394.00","1,410.00",0.93,"44,358.00","62,216,475.80"
21,04/10/2021,"1,392.00","1,407.00","1,370.00","1,397.00",0.14,"60,200.00","83,897,360.60"
22,03/10/2021,"1,429.90","1,429.90","1,393.00","1,395.00",-0.85,"55,819.00","78,068,846.30"
23,30/09/2021,"1,413.00","1,419.00","1,401.00","1,407.00",-0.07,"47,037.00","66,324,708.40"
24,29/09/2021,"1,420.00","1,420.00","1,379.00","1,408.00",0.93,"58,596.00","81,901,279.30"
25,28/09/2021,"1,415.00","1,415.00","1,380.00","1,395.00",-1.41,"86,659.00","120,745,318.60"
26,27/09/2021,"1,435.00","1,435.00","1,403.00","1,415.00",-1.12,"47,830.00","67,613,766.60"
27,26/09/2021,"1,450.00","1,465.00","1,427.00","1,431.00",-0.49,"116,113.00","167,255,276.40"
28,23/09/2021,"1,441.10","1,455.00","1,430.00","1,438.00",0.95,"136,670.00","197,580,382.70"
29,22/09/2021,"1,415.00","1,425.00","1,400.00","1,424.40",2.55,"79,284.00","111,996,296.90"
30,21/09/2021,"1,393.00","1,415.00","1,345.00","1,389.00",-0.29,"148,677.00","205,606,794.60"
31,20/09/2021,"1,432.00","1,440.00","1,380.00","1,393.00",-2.21,"132,043.00","184,440,763.70"
32,16/09/2021,"1,430.00","1,440.00","1,408.00","1,424.50",-1.42,"108,701.00","154,238,803.70"
33,15/09/2021,"1,470.00","1,470.00","1,440.00","1,445.00",-0.55,"37,192.00","53,826,948.50"
